[1,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:
[0,0;0]:[-435,550;25]:[-383,322;24]:[-1001,174;25]:[105,-116;19]:[-71,-15;20]:[101,349;23]:[167,-137;22]:[-623,-116;21]:[481,-394;25]:[-871,-358;24]:[-409,78;25]:[-559,-123;23]:[-339,357;23]:[1277,47;22]:[-237,403;23]:
[0,0;0]:[127,590;26]:[-693,-14;25]:[605,846;26]:[-51,224;18]:[323,117;21]:[-5,251;24]:[-175,-147;23]:[135,148;22]:[-2613,-162;26]:[-589,-782;25]:[925,-530;26]:[-193,-773;24]:[-65,1123;24]:[415,-325;23]:[-431,-295;24]:
[0,0;0]:[-1565,-487;27]:[-393,441;26]:[-3535,-1137;27]:[65,176;19]:[-379,-84;22]:[97,-430;25]:[139,194;24]:[23,-145;23]:[1263,-2299;27]:[-1153,3265;26]:[2609,-1009;27]:[37,1062;25]:[1013,742;25]:[301,494;24]:[-189,-442;25]:
[0,0;0]:[1079,24;24]:[-429,-556;23]:[501,92;24]:[-29,6;17]:[-205,11;19]:[71,-63;22]:[861,-161;21]:[279,-54;20]:[131,160;24]:[235,276;23]:[1173,428;24]:[-165,-407;22]:[-29,149;22]:[183,-7;21]:[325,15;22]:
[0,0;0]:[453,-867;27]:[-1599,-1547;26]:[-4713,339;27]:[-21,-80;19]:[287,210;22]:[171,-36;25]:[-151,-120;24]:[137,71;23]:[-6087,1129;27]:[-519,2109;26]:[-3433,-109;27]:[-921,-400;25]:[-1321,-416;25]:[-177,360;24]:[-319,52;25]:
[0,0;0]:[-1655,95;24]:[181,-257;23]:[1987,-439;24]:[31,15;18]:[171,-6;19]:[-321,-426;22]:[213,18;21]:[33,57;20]:[-355,563;24]:[-611,319;23]:[51,281;24]:[27,138;22]:[-225,-306;22]:[475,156;21]:[-255,-206;22]:
[0,0;0]:[-425,-700;25]:[-573,448;24]:[1669,-64;25]:[-9,-74;19]:[215,-3;20]:[-357,-543;23]:[281,99;22]:[-277,-226;21]:[-269,-580;25]:[427,280;24]:[-587,-320;25]:[-225,-79;23]:[-381,1065;23]:[-677,207;22]:[157,623;23]:
[0,0;0]:[-889,-2329;27]:[-1893,1455;26]:[4589,41;27]:[-33,-29;19]:[-995,-26;22]:[-759,1140;25]:[-1469,-296;24]:[435,173;23]:[-1725,-85;27]:[-29,1127;26]:[-1875,73;27]:[-259,-560;25]:[349,72;25]:[525,104;24]:[443,-60;25]:
[0,0;0]:[617,-136;24]:[-179,-644;23]:[363,-44;24]:[77,-38;17]:[-115,37;19]:[185,-145;22]:[35,49;21]:[73,-58;20]:[1437,560;24]:[181,-68;23]:[-2357,-124;24]:[-475,391;22]:[157,283;22]:[137,-73;21]:[-453,-63;22]:
[0,0;0]:[-479,-2535;26]:[621,-511;25]:[-341,-1081;26]:[-191,-45;19]:[-177,-14;21]:[1103,-520;24]:[-211,740;23]:[29,55;22]:[-411,37;26]:[-1259,-471;25]:[1771,-553;26]:[75,-676;24]:[267,424;24]:[111,-544;23]:[-1467,-244;24]:
[0,0;0]:[-445,-782;25]:[735,-58;24]:[-183,-422;25]:[103,84;18]:[-173,9;20]:[255,-49;23]:[373,297;22]:[-293,428;21]:[223,34;25]:[-425,-298;24]:[-1111,-598;25]:[-381,-177;23]:[-805,27;23]:[-145,-9;22]:[1565,-215;23]:
[0,0;0]:[191,-2267;26]:[-3101,-75;25]:[-571,-365;26]:[71,19;19]:[381,-188;21]:[789,-474;24]:[-273,-506;23]:[-181,7;22]:[923,753;26]:[-709,-451;25]:[709,1219;26]:[185,426;24]:[681,-338;24]:[149,-354;23]:[1175,238;24]:
[0,0;0]:[-491,38;23]:[121,402;22]:[-289,-210;23]:[-23,11;16]:[37,115;18]:[193,-79;21]:[-133,-49;20]:[117,4;19]:[185,886;23]:[641,-14;22]:[799,-290;23]:[-739,65;21]:[93,101;21]:[73,29;20]:[139,-33;21]:
[0,0;0]:[-1425,2749;27]:[-877,893;26]:[-2571,-661;27]:[-81,-57;19]:[-415,116;22]:[-139,-2334;25]:[-553,-126;24]:[819,259;23]:[43,-583;27]:[-1125,-1083;26]:[-2507,971;27]:[1129,-794;25]:[617,558;25]:[297,270;24]:[959,126;25]:
[0,0;0]:[349,230;26]:[-351,226;25]:[-105,-450;26]:[11,87;18]:[-471,11;21]:[-583,-875;24]:[59,-573;23]:[-939,128;22]:[-63,614;26]:[185,-62;25]:[727,-2;26]:[-795,-667;24]:[69,-859;24]:[-787,-35;23]:[-1445,335;24]:
