[1,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:
[0,0;0]:[13,2;14]:[11,-46;16]:[35,-20;15]:[-3,-7;13]:[11,8;15]:[17,21;17]:[5,6;12]:[1,-1;14]:[1,-1;14]:[-1,-4;12]:[-5,3;15]:[1,1;12]:[-23,19;16]:[-1,10;13]:[-15,-17;17]:[3,2;13]:[47,-10;15]:[-15,24;15]:[29,-6;16]:[-3,-1;12]:[7,-9;16]:[13,4;14]:[-17,-17;17]:[-5,-4;12]:[-3,0;11]:[-11,-3;15]:[1,-4;12]:[-5,-1;13]:[-7,4;15]:[15,21;17]:[43,-5;14]:[-47,-31;17]:[7,-7;15]:[1,1;12]:[-9,1;14]:[-9,-22;16]:[1,-2;14]:[1,0;10]:[1,1;11]:[3,1;15]:[-23,-53;17]:[19,10;15]:[3,13;16]:[-19,-16;15]:[3,5;15]:[0,0;0]:[1,-3;14]:[3,-11;15]:[-21,47;17]:[3,-12;15]:[5,-27;16]:[-5,-2;14]:[-23,-18;16]:[1,-5;12]:[15,8;15]:[-19,-53;17]:[9,-13;15]:[1,-3;12]:[1,-1;14]:[3,5;15]:[1,-26;15]:[-9,2;13]:[15,5;13]:
[0,0;0]:[3,0;12]:[-15,12;14]:[-11,-2;13]:[-5,-5;11]:[1,2;13]:[3,-7;15]:[1,1;9]:[-1,-1;12]:[3,1;12]:[3,-4;10]:[9,5;13]:[1,1;10]:[3,3;14]:[-9,-1;11]:[-5,23;15]:[-3,-2;11]:[-3,8;13]:[7,-2;13]:[-9,-8;14]:[1,-1;10]:[5,-5;14]:[13,-4;12]:[-19,19;15]:[5,-2;10]:[-3,0;9]:[7,-5;13]:[-3,-4;10]:[-3,-3;11]:[11,2;13]:[-11,-11;15]:[3,-3;12]:[-5,5;15]:[5,-13;13]:[-1,-3;10]:[1,-1;12]:[5,12;14]:[-1,2;12]:[-1,0;8]:[-1,-1;9]:[-7,11;13]:[27,3;15]:[-3,-4;13]:[17,13;14]:[15,-2;13]:[1,-5;13]:[0,0;0]:[3,-5;12]:[1,-1;13]:[-7,3;15]:[5,2;13]:[-1,-7;14]:[5,2;12]:[-5,12;14]:[3,-3;10]:[-11,-2;13]:[-25,-21;15]:[3,-7;13]:[-1,1;10]:[-9,1;12]:[1,-5;13]:[-13,0;13]:[-7,-4;11]:[-3,1;11]:
[0,0;0]:[9,10;13]:[13,8;15]:[-1,4;14]:[3,4;10]:[-11,-2;14]:[11,3;16]:[-3,8;12]:[-13,3;13]:[3,-3;10]:[1,-3;10]:[3,2;11]:[5,1;11]:[-17,9;15]:[3,-1;10]:[-25,-35;16]:[3,-1;10]:[13,16;14]:[5,0;14]:[3,4;15]:[-5,-1;11]:[-35,9;15]:[5,-5;13]:[-11,-7;16]:[3,4;11]:[1,0;5]:[-3,-2;11]:[-3,3;10]:[-5,0;10]:[15,-10;14]:[25,-1;16]:[5,0;13]:[-1,-5;16]:[1,0;11]:[3,-2;10]:[-3,2;11]:[5,-16;15]:[1,1;11]:[-1,-1;9]:[0,0;0]:[5,3;11]:[-13,13;16]:[-7,2;14]:[-15,15;15]:[5,8;14]:[-5,-1;11]:[1,4;9]:[-1,0;10]:[-9,-1;11]:[21,-3;16]:[13,8;14]:[19,-13;15]:[-1,-1;11]:[-5,16;15]:[5,3;11]:[-3,-2;14]:[31,5;16]:[5,-2;11]:[3,-2;10]:[-7,2;11]:[-5,-1;11]:[5,-2;14]:[-9,2;12]:[-1,-4;12]:
[0,0;0]:[-1,-2;12]:[1,0;14]:[-5,0;13]:[-3,-1;12]:[-11,6;13]:[-3,8;14]:[-3,7;14]:[-1,1;12]:[11,-9;13]:[5,0;10]:[9,3;14]:[3,0;8]:[-3,-5;13]:[11,-1;14]:[3,7;14]:[-17,0;12]:[3,0;13]:[5,4;13]:[3,-4;14]:[3,1;9]:[5,0;13]:[-1,3;14]:[7,-4;14]:[-1,2;10]:[-3,-2;9]:[15,-3;14]:[-1,2;10]:[-5,1;12]:[3,-2;13]:[1,-3;14]:[-3,3;14]:[7,0;14]:[17,-5;14]:[-5,6;11]:[3,9;13]:[15,10;14]:[11,-2;13]:[3,3;9]:[1,-1;7]:[5,-21;14]:[-7,3;14]:[1,1;12]:[1,-2;13]:[-3,0;11]:[5,-3;14]:[1,3;8]:[3,-3;13]:[-31,3;14]:[9,6;14]:[1,0;12]:[-3,1;13]:[-3,-6;13]:[-7,-6;14]:[1,2;9]:[15,-2;13]:[9,-3;14]:[19,13;14]:[-5,-2;11]:[-19,7;13]:[5,13;14]:[1,0;10]:[1,-2;11]:[-1,-3;12]:
[0,0;0]:[-15,-1;14]:[-21,-9;16]:[11,-19;15]:[-3,0;11]:[11,9;15]:[-25,-5;17]:[19,11;15]:[15,2;14]:[1,-1;10]:[-1,-1;12]:[1,2;10]:[3,-3;12]:[-1,-1;16]:[-13,-19;15]:[-29,-85;17]:[-1,-1;11]:[-1,-15;15]:[17,-9;15]:[37,-31;16]:[-3,7;12]:[-11,-7;16]:[-3,-18;15]:[17,17;17]:[7,-9;12]:[1,-1;11]:[-1,4;10]:[5,5;12]:[3,4;11]:[9,15;15]:[21,33;17]:[13,-12;15]:[3,15;17]:[3,0;10]:[-3,1;11]:[3,1;12]:[3,13;16]:[-3,3;12]:[-1,-2;9]:[1,0;9]:[1,1;10]:[-33,7;17]:[-19,10;15]:[-39,7;16]:[-23,-16;15]:[0,0;0]:[1,1;9]:[-1,0;10]:[1,4;11]:[9,-3;17]:[21,-14;15]:[27,-23;16]:[7,-3;12]:[-11,-29;16]:[7,-5;12]:[-29,-5;15]:[19,-5;17]:[-3,2;11]:[-3,1;11]:[-7,-1;12]:[-1,0;6]:[1,16;15]:[-5,-15;13]:[-1,0;10]:
[0,0;0]:[-25,-2;14]:[25,-6;16]:[9,0;15]:[-5,-3;13]:[13,4;15]:[39,-43;17]:[9,-2;13]:[-5,5;14]:[7,9;14]:[5,-3;12]:[5,21;15]:[-3,-1;12]:[-17,3;16]:[-1,10;12]:[31,-17;17]:[-3,-6;13]:[21,-6;15]:[-13,-12;15]:[-1,2;16]:[9,-3;12]:[-23,7;16]:[-15,-19;14]:[25,-41;17]:[-3,0;12]:[1,-1;11]:[-5,-21;15]:[-9,-5;12]:[-3,-5;13]:[-9,0;15]:[33,61;17]:[-9,4;14]:[-1,-39;17]:[13,-23;15]:[-1,-5;12]:[9,-3;14]:[-27,14;16]:[7,6;14]:[-1,1;10]:[-5,-3;11]:[-15,9;15]:[-17,3;17]:[1,-12;15]:[-3,-7;16]:[-25,18;15]:[-3,-17;15]:[-1,0;9]:[15,-9;14]:[9,-3;15]:[-27,7;17]:[-31,-10;15]:[-29,9;16]:[-3,6;14]:[-21,-6;16]:[3,-1;12]:[-11,8;15]:[43,19;17]:[-5,3;15]:[-1,7;12]:[-9,3;14]:[-3,-1;15]:[-13,-16;15]:[13,-2;13]:[-5,-13;13]:
[0,0;0]:[-17,-3;14]:[-5,-19;16]:[-37,13;15]:[7,7;14]:[39,-13;15]:[-5,-7;13]:[9,1;16]:[-17,0;14]:[-23,1;15]:[3,3;12]:[31,9;16]:[1,1;11]:[-11,10;14]:[-5,9;16]:[29,3;15]:[5,-2;14]:[-3,13;15]:[5,-5;15]:[17,-1;16]:[-5,-1;10]:[5,7;13]:[31,7;16]:[-11,4;13]:[-11,-3;12]:[5,-3;11]:[17,-9;16]:[-3,-1;12]:[-7,-7;14]:[13,-11;15]:[3,-9;15]:[41,15;16]:[19,3;14]:[19,-13;16]:[3,18;13]:[-3,5;15]:[5,23;16]:[27,18;15]:[-1,-1;11]:[9,-3;12]:[31,-5;16]:[-23,-10;15]:[0,0;0]:[-9,-4;13]:[11,0;14]:[-1,-9;16]:[1,0;10]:[-15,3;15]:[27,-13;16]:[-9,-2;14]:[7,-2;13]:[11,-10;14]:[1,-6;15]:[35,-19;16]:[-1,-1;6]:[-7,-13;15]:[15,4;15]:[-31,21;16]:[3,-2;13]:[-5,-5;15]:[-1,-25;16]:[-7,13;14]:[-3,3;13]:[-15,-1;14]:
[0,0;0]:[5,3;12]:[-9,1;14]:[7,-3;13]:[-1,-1;9]:[7,-5;13]:[3,3;15]:[1,7;13]:[3,0;12]:[1,-4;9]:[3,2;10]:[-3,0;10]:[-1,-1;10]:[3,-9;14]:[5,-7;13]:[7,11;15]:[3,1;9]:[3,-1;13]:[5,-1;13]:[9,-1;14]:[1,-3;10]:[9,-7;14]:[-1,6;13]:[21,9;15]:[-1,1;10]:[-1,0;9]:[3,-6;10]:[-3,2;10]:[1,-3;9]:[-3,9;13]:[17,1;15]:[-5,-4;13]:[7,-1;15]:[-1,0;10]:[-1,2;9]:[-5,4;10]:[15,7;14]:[-3,0;8]:[0,0;0]:[-1,-1;9]:[-1,0;10]:[-5,-1;15]:[1,6;13]:[-3,3;14]:[-3,-8;13]:[-11,-1;10]:[1,0;6]:[-3,0;9]:[1,1;10]:[21,5;15]:[9,-2;13]:[15,-3;14]:[1,1;7]:[-7,-7;14]:[-1,1;10]:[-9,5;13]:[-1,11;15]:[-1,-1;10]:[3,2;9]:[5,4;10]:[5,-1;10]:[5,4;13]:[-1,1;11]:[-1,-1;9]:
[0,0;0]:[13,5;15]:[-41,-19;17]:[-25,11;16]:[-1,-2;11]:[-33,23;16]:[47,27;18]:[5,-19;16]:[-25,-8;15]:[-5,1;13]:[-1,-9;13]:[-9,1;14]:[11,-3;13]:[7,43;17]:[-23,-1;16]:[19,23;18]:[7,0;11]:[11,-5;16]:[-43,-39;16]:[-23,3;17]:[-7,7;13]:[5,9;17]:[-37,4;16]:[-39,17;18]:[-13,9;13]:[-11,-5;12]:[1,-1;14]:[5,5;13]:[5,-2;11]:[-43,-7;16]:[-11,85;18]:[-1,-6;16]:[83,-49;18]:[7,-3;14]:[5,0;12]:[3,-2;10]:[-41,-9;17]:[3,-2;12]:[-1,-1;10]:[1,-1;9]:[-1,-15;14]:[39,3;18]:[-43,-6;16]:[57,15;17]:[-19,8;16]:[-1,1;14]:[1,3;10]:[-9,-7;13]:[-7,7;14]:[105,5;18]:[45,-18;16]:[3,-3;17]:[-7,2;12]:[-15,9;17]:[-9,-5;13]:[-25,-3;16]:[-21,15;18]:[7,-3;14]:[-3,0;12]:[-3,-1;10]:[-1,-7;14]:[29,-4;16]:[15,3;14]:[-7,2;12]:
[0,0;0]:[1,-6;12]:[5,-14;14]:[-7,-12;13]:[3,-1;12]:[-3,-8;13]:[5,17;14]:[-1,-9;14]:[-5,1;12]:[1,-1;13]:[-1,2;9]:[-17,3;14]:[-1,1;9]:[-7,4;13]:[1,-1;14]:[7,-8;14]:[5,0;12]:[11,2;13]:[15,0;13]:[-25,-14;14]:[-1,1;8]:[13,-1;13]:[-15,7;14]:[7,3;14]:[-5,4;10]:[1,2;7]:[-15,-3;14]:[1,0;9]:[5,1;12]:[-1,-4;13]:[5,-4;14]:[-5,7;14]:[-17,-15;14]:[-1,7;14]:[3,2;11]:[1,1;13]:[11,0;14]:[3,0;13]:[5,0;9]:[-3,1;10]:[3,-1;14]:[5,4;14]:[-9,0;12]:[13,-5;13]:[3,-2;9]:[-1,5;14]:[-1,0;7]:[1,5;13]:[7,-9;14]:[9,5;14]:[-1,-5;12]:[5,0;13]:[-7,-4;13]:[13,-20;14]:[-1,-1;9]:[-5,-12;13]:[-3,6;14]:[-19,1;14]:[3,-2;11]:[7,-1;13]:[-1,5;14]:[-1,1;11]:[-5,-2;11]:[-3,-3;12]:
